source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
198,Ruprecht 64,,08 37.3,-40 09,08 37.3 -40 09,0.62,800,8.45
199,Pismis 6,,08 39.1,-46 14,08 39.1 -46 14,0.15,1668,7.58
200,Ruprecht 65,,08 39.2,-44 03,08 39.2 -44 03,0.24,500,8.57
201,NGC 2632,"Praesepe, M 44",08 40.4,+19 41,08 40.4 +19 41,3,187,8.9
202,IC 2391,,08 40.6,-53 02,08 40.6 -53 02,1.25,176,7.88
203,Ruprecht 67,,08 41.6,-43 22,08 41.6 -43 22,0.12,1504,8.38
204,Mamajek 1,,08 42.1,-79 02,08 42.1 -79 02,0.4,105,6.9
205,IC 2395,,08 42.5,-48 07,08 42.5 -48 07,0.35,709,7.08
206,NGC 2659,,08 42.6,-44 59,08 42.6 -44 59,0.12,1713,7.23
207,Bochum 7,,08 44.8,-45 58,08 44.8 -45 58,0.19,5754,7.08
208,NGC 2670,,08 45.5,-48 48,08 45.5 -48 48,0.14,1188,8.1
209,NGC 2669,,08 46.4,-52 56,08 46.4 -52 56,0.25,1046,7.97
210,Trumpler 10,,08 47.7,-42 27,08 47.7 -42 27,0.75,417,7.38
211,Ruprecht 71,,08 49.4,-46 51,08 49.4 -46 51,0.16,1300,8.78
212,NGC 2682,M 67,08 51.4,+11 48,08 51.4 +11 48,0.31,908,9.41
213,vdBergh-Hagen 56,,08 57.1,-43 15,08 57.1 -43 15,0.3,680,7.24
214,Collinder 205,Markarian 18,09 00.5,-48 59,09 00.5 -48 59,0.16,1500,7.03
215,ESO 165-09,,09 05.2,-55 58,09 05.2 -55 58,0.15,450,8.96
216,Platais 8,,09 07.8,-59 08,09 07.8 -59 08,3,150,7.75
217,ESO 166-04,,09 10.5,-53 53,09 10.5 -53 53,0.16,885,8.45
218,Platais 9,,09 14.2,-44 08,09 14.2 -44 08,3.3,200,8.09
219,vdBergh-Hagen 66,,09 25.3,-54 43,09 25.3 -54 43,0.13,7000,7.48
220,IC 2488,,09 27.7,-57 00,09 27.7 -57 00,0.3,1134,8.53
221,Ruprecht 78,,09 29.2,-53 42,09 29.2 -53 42,0.16,1641,7.14
222,NGC 2910,,09 30.5,-52 55,09 30.5 -52 55,0.11,2607,7.46
223,Turner 5,,09 32.5,-36 28,09 32.5 -36 28,1.65,400,8.49
224,NGC 2925,,09 33.2,-53 22,09 33.2 -53 22,0.3,774,8.05
