source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
360|NGC 5822||15 04.4|-54 24|0.53|917|8.83
369|NGC 6067||16 13.2|-54 13|0.25|1417|8.01
256|NGC 3330|Harvard 4|10 38.8|-54 07|0.19|894|8.3
247|Loden 59||10 30.3|-54 04|0.16|650|8.45
227|Ruprecht 82||09 45.8|-54 00|0.1|2455|8.5
217|ESO 166-04||09 10.5|-53 53|0.16|885|8.45
225|Ruprecht 79||09 41.0|-53 51|0.2|1979|7.84
384|NGC 6208||16 49.4|-53 44|0.14|939|9.07
221|Ruprecht 78||09 29.2|-53 42|0.16|1641|7.14
224|NGC 2925||09 33.2|-53 22|0.3|774|8.05
231|Pismis 16||09 51.2|-53 10|0.1|1824|7.72
202|IC 2391||08 40.6|-53 02|1.25|176|7.88
209|NGC 2669||08 46.4|-52 56|0.25|1046|7.97
222|NGC 2910||09 30.5|-52 55|0.11|2607|7.46
376|NGC 6152||16 32.7|-52 38|0.36|1030|8.65
363|Loden 2313||15 40.8|-52 29|0.19|1410|8.74
359|Hogg 18||14 50.7|-52 16|0.12|1535|7.58
372|Ruprecht 116||16 23.3|-52 00|0.1|900|8.95
241|NGC 3228||10 21.4|-51 44|0.18|499|8.43
375|Ruprecht 119||16 28.3|-51 30|0.12|956|7.43
362|Alessi 8||15 29.6|-51 14|0.31|575|7.92
232|Collinder 213||09 54.6|-50 55|0.15|1400|8.84
397|IC 4651||17 24.8|-49 56|0.18|888|8.92
377|NGC 6167||16 34.6|-49 46|0.17|1108|8.16
183|NGC 2547||08 10.1|-49 13|0.3|457|7.7
374|NGC 6134||16 27.8|-49 09|0.13|913|8.53
367|Nor OB5||16 10.6|-49 02|1|1800|7.11
214|Collinder 205|Markarian 18|09 00.5|-48 59|0.16|1500|7.03
208|NGC 2670||08 45.5|-48 48|0.14|1188|8.1
380|NGC 6193||16 41.3|-48 46|0.25|1155|6.9
345|NGC 5460||14 07.4|-48 20|0.38|673|8.31
205|IC 2395||08 42.5|-48 07|0.35|709|7.08
182|Vel OB2||08 09.5|-47 54|1.2|411|7.26
381|NGC 6200||16 44.1|-47 28|0.2|2054|7
410|Alessi 9||17 43.9|-47 11|1.4|195|8.42
383|Hogg 22||16 46.6|-47 05|0.08|1297|6.7
382|NGC 6204||16 46.1|-47 01|0.08|1085|8.28
211|Ruprecht 71||08 49.4|-46 51|0.16|1300|8.78
129|Alessi 3||07 16.3|-46 37|0.55|288|8.87
199|Pismis 6||08 39.1|-46 14|0.15|1668|7.58
207|Bochum 7||08 44.8|-45 58|0.19|5754|7.08
390|NGC 6250||16 58.0|-45 56|0.4|865|7.42
378|NGC 6178||16 35.8|-45 38|0.16|1014|7.51
206|NGC 2659||08 42.6|-44 59|0.12|1713|7.23
389|NGC 6249||16 57.7|-44 49|0.2|981|7.54
195|vdBergh-Hagen 34||08 31.3|-44 30|0.25|950|8.48
196|Pismis 4||08 34.6|-44 29|0.4|593|8.11
218|Platais 9||09 14.2|-44 08|3.3|200|8.09
200|Ruprecht 65||08 39.2|-44 03|0.24|500|8.57
226|Ruprecht 80||09 42.1|-44 01|0.13|2500|8.33
203|Ruprecht 67||08 41.6|-43 22|0.12|1504|8.38
379|NGC 6192||16 40.4|-43 22|0.17|1547|8.13
213|vdBergh-Hagen 56||08 57.1|-43 15|0.3|680|7.24
287|NGC 3680||11 25.6|-43 14|0.21|934|9.09
395|NGC 6322||17 18.4|-42 56|0.12|995|7.16
210|Trumpler 10||08 47.7|-42 27|0.75|417|7.38
385|NGC 6231||16 54.2|-41 50|0.22|1250|6.81
386|ESO 332-08||16 54.7|-40 43|0.13|1200|8.17
388|vdBergh-Hagen 205||16 56.2|-40 40|0.06|2160|7.12
373|NGC 6124||16 25.3|-40 39|0.55|470|8.34
188|Ruprecht 56||08 12.5|-40 28|0.36|410|8.7
400|Ruprecht 125||17 29.6|-40 28|0.17|1500|8.77
198|Ruprecht 64||08 37.3|-40 09|0.62|800|8.45
409|Trumpler 29|Harvard 17|17 41.5|-40 09|0.18|760|8.69
391|NGC 6268||17 02.2|-39 44|0.14|1029|8.24
387|NGC 6242||16 55.6|-39 28|0.28|1131|7.63
418|Sco OB5||17 52.6|-38 38|0.58|3310|6.86
159|NGC 2451A||07 41.3|-38 32|1.65|188|7.76
167|NGC 2477||07 52.1|-38 32|0.22|1222|8.61
392|NGC 6281||17 04.7|-37 59|0.45|494|8.51
406|Collinder 338||17 38.1|-37 43|0.26|880|8.65
162|NGC 2451B||07 44.5|-37 40|0.4|430|7.88
186|NGC 2546||08 11.9|-37 37|0.61|919|7.92
133|Collinder 135||07 17.8|-37 10|1.1|319|7.54
407|NGC 6400||17 40.2|-36 57|0.21|950|8.78
223|Turner 5||09 32.5|-36 28|1.65|400|8.49
190|vdBergh-Hagen 23||08 14.1|-36 22|0.32|437|7.14
194|Collinder 185||08 23.3|-36 20|0.14|1486|8.18
44|Alessi 13||03 28.2|-35 54|3.2|110|8.72
161|Ruprecht 31||07 43.0|-35 36|0.13|480|8.56
394|Bochum 13||17 17.4|-35 33|0.18|1077|7.08
421|Trumpler 30||17 56.8|-35 16|0.13|1000|8.31
416|NGC 6444||17 49.6|-34 49|0.17|560|9
176|Ruprecht 44||07 58.9|-28 35|0.14|4655|7.33
420|NGC 6475|M 7|17 53.8|-34 47|1.2|300|8.22
401|Collinder 333||17 31.5|-34 01|0.15|855|8.9
403|Trumpler 27||17 36.4|-33 31|0.25|1211|7.47
393|Sco OB4||17 12.6|-33 22|1.7|1100|6.82
187|Ruprecht 55||08 12.5|-32 35|0.2|4892|6.97
402|NGC 6383||17 34.8|-32 34|0.25|985|6.71
404|Trumpler 28||17 37.0|-32 29|0.13|1343|6.89
411|NGC 6416||17 44.3|-32 22|0.22|741|8.78
396|vdBergh-Hagen 221||17 18.7|-32 20|0.23|750|8.01
408|NGC 6405|M 6|17 40.3|-32 12|0.4|487|7.91
136|Collinder 140||07 23.3|-32 04|0.5|402|7.57
156|NGC 2439||07 40.7|-31 41|0.18|3855|6.82
399|Antalova 1||17 28.9|-31 34|0.22|850|8.5
413|NGC 6425||17 47.0|-31 32|0.13|778|8.34
179|Ruprecht 47||08 02.3|-31 04|0.15|3006|8.07
126|Collinder 132||07 13.6|-31 02|0.3|411|7.51
181|ESO 430-18||08 06.8|-30 50|0.2|830|9.05
191|Haffner 26||08 15.7|-30 50|0.1|1000|7.47
192|NGC 2567||08 18.5|-30 38|0.17|1677|8.64
3|Blanco 1||00 03.3|-30 08|2.9|269|8.32
417|Basel 5||17 52.4|-30 06|0.15|766|8.54
155|Haffner 13||07 40.5|-30 05|0.48|714|7.51
174|NGC 2489||07 56.3|-30 04|0.11|3700|7.25
197|NGC 2627||08 37.3|-29 57|0.13|2034|8.71
193|NGC 2571||08 19.0|-29 45|0.3|1339|7.22
398|Trumpler 26||17 28.6|-29 30|0.16|2800|8.38
415|Ruprecht 131||17 49.3|-29 15|0.11|600|9.17
177|Ruprecht 43||07 59.3|-28 54|0.15|1300|8.47
121|Ruprecht 12||07 07.3|-28 13|0.17|900|7.56
180|NGC 2527||08 05.0|-28 09|0.5|601|8.85
172|NGC 2483||07 55.6|-27 54|0.14|1659|7.49
426|NGC 6520||18 03.4|-27 53|0.11|1577|7.75
154|ESO 493-03||07 39.7|-27 17|0.15|1400|8.6
185|Ruprecht 53||08 10.8|-27 00|0.18|1700|8.59
151|Ruprecht 27||07 37.5|-26 32|0.18|560|8.41
169|NGC 2467||07 52.3|-26 26|0.2|1355|8.05
173|Trumpler 9||07 55.7|-25 53|0.1|2289|7.99
127|NGC 2354||07 14.1|-25 41|0.18|3794|8.1
166|Haffner 16||07 50.3|-25 28|0.11|3165|7.51
134|NGC 2362||07 18.7|-24 59|0.25|1389|6.64
164|NGC 2448||07 44.6|-24 41|0.3|1040|7.19
431|ESO 521-38||18 09.4|-24 32|0.09|1800|8.1
428|NGC 6530||18 04.5|-24 22|0.25|1322|6.67
115|Collinder 121||06 54.7|-24 18|0.53|1100|7.08
171|NGC 2482||07 55.2|-24 16|0.22|1343|8.48
140|Trumpler 7||07 27.4|-23 57|0.15|1474|7.72
163|NGC 2447|M 93|07 44.6|-23 52|0.32|1037|8.76
432|Collinder 367||18 09.7|-23 40|0.4|1200|6.84
424|Ruprecht 139||18 01.0|-23 32|0.13|550|9.05
429|NGC 6546||18 07.6|-23 20|0.2|938|8.72
425|NGC 6514||18 02.7|-22 58|0.23|816|7.28
427|NGC 6531|M 21|18 04.2|-22 29|0.3|1205|6.82
419|NGC 6469||17 53.2|-22 19|0.15|550|8.36
135|NGC 2367||07 20.1|-21 53|0.17|2004|7.01
