h_no,target_name,target_ra_dec,target_radius,split_cmd,abundant_stars,striped_cmd,OOI,notes
126,NGC 6642,18 31 54.10 -23 28 30.7,0.73,1,1,,,
127,NGC 6652,18 35 45.63 -32 59 26.6,0.48,1,,,,
128,NGC 6656,18 36 23.94 -23 54 17.1,3.36,1,1,,1,
129,Pal 8,18 41 29.9 -19 49 33,0.58,1,1,,,
130,NGC 6681,18 43 12.76 -32 17 31.6,0.71,1,,,,
131,GLIMPSE01,18 48 49.7 -01 29 50,0.65,1,,1,,
132,NGC 6712,18 53 04.30 -08 42 22.0,1.33,1,1,,,
133,NGC 6715,18 55 03.33 -30 28 47.5,0.82,1,,,,
134,NGC 6717,18 55 06.04 -22 42 05.3,0.68,1,,,,
135,NGC 6723,18 59 33.15 -36 37 56.1,1.53,1,1,,,
136,NGC 6749,19 05 15.3 +01 54 03,1.10,1,1,1,,
137,NGC 6752,19 10 52.11 -59 59 04.4,1.91,1,1,,1,
138,NGC 6760,19 11 12.01 +01 01 49.7,1.27,1,1,,,
139,NGC 6779,19 16 35.57 +30 11 00.5,1.10,1,1,,,
140,Terzan 7,19 17 43.92 -34 39 27.8,0.77,,,,,
141,Pal 10,19 18 02.1 +18 34 18,0.99,1,1,1,,
142,Arp 2,19 28 44.11 -30 21 20.3,1.77,1,1,,,
143,NGC 6809,19 39 59.71 -30 57 53.1,2.83,1,1,,,
144,Terzan 8,19 41 44.41 -33 59 58.1,0.95,,,,,
145,Pal 11,19 45 14.4 -08 00 26,1.46,1,,,,
146,NGC 6838,19 53 46.49 +18 46 45.1,1.67,1,1,,,
147,NGC 6864,20 06 04.69 -21 55 16.2,0.46,,,,,
148,NGC 6934,20 34 11.37 +07 24 16.1,0.69,1,,,,
149,NGC 6981,20 53 27.70 -12 32 14.3,0.93,,,,,
150,NGC 7006,21 01 29.38 +16 11 14.4,0.44,,,,,
151,NGC 7078,21 29 58.33 +12 10 01.2,1.00,0,,,,
152,NGC 7089,21 33 27.02 -00 49 23.7,1.06,0,,,,
153,NGC 7099,21 40 22.12 -23 10 47.5,1.03,0,,,,
154,Pal 12,21 46 38.84 -21 15 09.4,1.72,,,,,
155,Pal 13,23 06 44.44 +12 46 19.2,0.36,,,,,
156,NGC 7492,23 08 26.63 -15 36 41.4,1.15,,,,,
